Datetime,Trip Distance,trip total duration,duration in traffice,status,coordinates,speed,Traffic condition,Intensity,Origin,Destination,Country
2024-02-12T22:07:34.360Z,0.7 mi,4 mins,4 mins,OK,"origin=48.82967832085311,2.26086883973403&destination=48.82768832085311,2.267428840619317",16.8,Moderate Traffic,0.45,"48.82967832085311,2.26086883973403","48.82768832085311,2.267428840619317",France
2024-02-12T22:12:34.473Z,0.7 mi,4 mins,4 mins,OK,"origin=48.82967832085311,2.26086883973403&destination=48.82768832085311,2.267428840619317",16.8,Moderate Traffic,0.45,"48.82967832085311,2.26086883973403","48.82768832085311,2.267428840619317",France
2024-02-12T22:17:34.552Z,0.7 mi,4 mins,4 mins,OK,"origin=48.82967832085311,2.26086883973403&destination=48.82768832085311,2.267428840619317",16.8,Moderate Traffic,0.45,"48.82967832085311,2.26086883973403","48.82768832085311,2.267428840619317",France
2024-02-12T22:22:34.669Z,0.7 mi,4 mins,4 mins,OK,"origin=48.82967832085311,2.26086883973403&destination=48.82768832085311,2.267428840619317",16.8,Moderate Traffic,0.45,"48.82967832085311,2.26086883973403","48.82768832085311,2.267428840619317",France
2024-02-12T22:27:34.757Z,0.7 mi,4 mins,4 mins,OK,"origin=48.82967832085311,2.26086883973403&destination=48.82768832085311,2.267428840619317",16.8,Moderate Traffic,0.45,"48.82967832085311,2.26086883973403","48.82768832085311,2.267428840619317",France
2024-02-12T22:32:34.899Z,0.7 mi,4 mins,4 mins,OK,"origin=48.82967832085311,2.26086883973403&destination=48.82768832085311,2.267428840619317",16.8,Moderate Traffic,0.45,"48.82967832085311,2.26086883973403","48.82768832085311,2.267428840619317",France
2024-02-12T22:37:34.995Z,0.7 mi,4 mins,4 mins,OK,"origin=48.82967832085311,2.26086883973403&destination=48.82768832085311,2.267428840619317",16.8,Moderate Traffic,0.45,"48.82967832085311,2.26086883973403","48.82768832085311,2.267428840619317",France
2024-02-12T22:42:35.031Z,0.7 mi,4 mins,4 mins,OK,"origin=48.82967832085311,2.26086883973403&destination=48.82768832085311,2.267428840619317",16.8,Moderate Traffic,0.45,"48.82967832085311,2.26086883973403","48.82768832085311,2.267428840619317",France
2024-02-12T22:47:35.156Z,0.7 mi,4 mins,3 mins,OK,"origin=48.82967832085311,2.26086883973403&destination=48.82768832085311,2.267428840619317",22.4,Low Traffic,0,"48.82967832085311,2.26086883973403","48.82768832085311,2.267428840619317",France
2024-02-12T22:52:35.246Z,0.7 mi,4 mins,3 mins,OK,"origin=48.82967832085311,2.26086883973403&destination=48.82768832085311,2.267428840619317",22.4,Low Traffic,0,"48.82967832085311,2.26086883973403","48.82768832085311,2.267428840619317",France
2024-02-12T22:57:35.316Z,0.7 mi,4 mins,3 mins,OK,"origin=48.82967832085311,2.26086883973403&destination=48.82768832085311,2.267428840619317",22.4,Low Traffic,0,"48.82967832085311,2.26086883973403","48.82768832085311,2.267428840619317",France
2024-02-12T23:02:35.425Z,0.7 mi,4 mins,3 mins,OK,"origin=48.82967832085311,2.26086883973403&destination=48.82768832085311,2.267428840619317",22.4,Low Traffic,0,"48.82967832085311,2.26086883973403","48.82768832085311,2.267428840619317",France
2024-02-12T23:07:35.520Z,0.7 mi,4 mins,3 mins,OK,"origin=48.82967832085311,2.26086883973403&destination=48.82768832085311,2.267428840619317",22.4,Low Traffic,0,"48.82967832085311,2.26086883973403","48.82768832085311,2.267428840619317",France
2024-02-12T23:12:35.625Z,0.7 mi,4 mins,3 mins,OK,"origin=48.82967832085311,2.26086883973403&destination=48.82768832085311,2.267428840619317",22.4,Low Traffic,0,"48.82967832085311,2.26086883973403","48.82768832085311,2.267428840619317",France
2024-02-12T23:17:35.761Z,0.7 mi,4 mins,3 mins,OK,"origin=48.82967832085311,2.26086883973403&destination=48.82768832085311,2.267428840619317",22.4,Low Traffic,0,"48.82967832085311,2.26086883973403","48.82768832085311,2.267428840619317",France
2024-02-12T23:22:35.852Z,0.7 mi,4 mins,3 mins,OK,"origin=48.82967832085311,2.26086883973403&destination=48.82768832085311,2.267428840619317",22.4,Low Traffic,0,"48.82967832085311,2.26086883973403","48.82768832085311,2.267428840619317",France
2024-02-12T23:27:35.970Z,0.7 mi,4 mins,3 mins,OK,"origin=48.82967832085311,2.26086883973403&destination=48.82768832085311,2.267428840619317",22.4,Low Traffic,0,"48.82967832085311,2.26086883973403","48.82768832085311,2.267428840619317",France
2024-02-12T23:32:36.019Z,0.7 mi,4 mins,3 mins,OK,"origin=48.82967832085311,2.26086883973403&destination=48.82768832085311,2.267428840619317",22.4,Low Traffic,0,"48.82967832085311,2.26086883973403","48.82768832085311,2.267428840619317",France
2024-02-12T23:37:36.142Z,0.7 mi,4 mins,3 mins,OK,"origin=48.82967832085311,2.26086883973403&destination=48.82768832085311,2.267428840619317",22.4,Low Traffic,0,"48.82967832085311,2.26086883973403","48.82768832085311,2.267428840619317",France
